Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.52     0.00    11641     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1l> > > const&)
  0.00      5.52     0.00    11603     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, long, std::ratio<1l, 1000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
  0.00      5.52     0.00    11600     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1l> > >::time_point(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      5.52     0.00    11568     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::duration<long, void>(long const&)
  0.00      5.52     0.00    11522     0.00     0.00  std::remove_reference<main::{lambda()#1}&>::type&& std::move<main::{lambda()#1}&>(std::remove_reference&&)
  0.00      5.52     0.00    11287     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::count() const
  0.00      5.52     0.00    11223     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1l> > >::value, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1l> > > >::type std::chrono::time_point_cast<std::chrono::duration<long, std::ratio<1l, 1l> >, std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      5.52     0.00    11075     0.00     0.00  bool std::chrono::operator< <long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      5.52     0.00     7047     0.00     0.00  std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*>::_M_set_node(std::pair<unsigned char*, unsigned long long>**)
  0.00      5.52     0.00     6057     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      5.52     0.00     3626     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char*, unsigned long long> >::allocate(unsigned long, void const*)
  0.00      5.52     0.00     3168     0.00     0.00  void std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::_M_push_back_aux<std::pair<unsigned char*, unsigned long long> >(std::pair<unsigned char*, unsigned long long>&&)
  0.00      5.52     0.00     3088     0.00     0.00  std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::_M_reserve_map_at_back(unsigned long)
  0.00      5.52     0.00     3072     0.00     0.00  std::_Deque_base<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::_M_allocate_node()
  0.00      5.52     0.00     2968     0.00     0.00  std::allocator_traits<std::allocator<std::pair<unsigned char*, unsigned long long> > >::allocate(std::allocator<std::pair<unsigned char*, unsigned long long> >&, unsigned long)
  0.00      5.52     0.00     2921     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char*, unsigned long long> >::max_size() const
  0.00      5.52     0.00     2809     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char*, unsigned long long> >::deallocate(std::pair<unsigned char*, unsigned long long>*, unsigned long)
  0.00      5.52     0.00     1915     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      5.52     0.00     1879     0.00     0.00  Logger::operator<<(char const*)
  0.00      5.52     0.00     1680     0.00     0.00  std::pointer_traits<char const*>::pointer_to(char const&)
  0.00      5.52     0.00     1613     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      5.52     0.00     1578     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
